Species,Genus,Species_name,Biomes,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome_FunctionalType,OsmoticPotential_WET_MPa,OsmoticPotential_DRY_MPa,OsmoticAdjustment_MPa,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_adjustment_contribution_to_TLP_DRY_percent,RWC_total_wet_percent,RWC_total_dry_percent,RWC_total_Adjustment_percent,RWC_adjustment_contribution_to_postdroughtRWC_percent,Drought Treatment,Site_Latitude,Site_Longitude,Site_Number,MeanAnnualPrecip_mm,AridityIndex_AI,PotentialEvapotranspiration_annual_mm,MeanPrecipitation_WetSeason_mm,MeanPrecipitation_DrySeason_mm,PotentialEvapotranspiration_WetSeason_mm,PotentialEvapotranspiration_DrySeason_mm,Annual_WaterBalance_mm,WetSeason_WaterBalance_mm,DrySeason_WaterBalance_mm,Seasonal_Difference_WaterBalance_mm,Wet month,Dry month,Reference,Notes
Bauhinia holophylla,Bauhinia,holophylla,TropicalDry,W,D,TropicalDryD,-1.52,-2.12,-0.6,-1.98,-3,-1.02,34,85.38,91.68,6.3,6.871727749,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Bauhinia variegata,Bauhinia,variegata,TropicalDry,W,D,TropicalDryD,-1.22,-1.3,-0.08,-1.29,-1.4,-0.11,7.857142857,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Beaufortia micrantha,Beaufortia,micrantha,Med/TempDry,W,E,Med/TempDry,,,,-3.555555556,-3.972222222,-0.416666666,10.4895105,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Berberis microphylla,Berberis,microphylla,SemiDesert,W,E,SemiDesert,-2.82,-2.79,0.03,-3.27,-4.47,-1.2,26.84563758,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Betula papyrifera,Betula,papyrifera,Temperate,W,D,TemperateD,-1.35,-1.6,-0.25,-1.61,-1.69,-0.08,4.733727811,88.1,85.9,-2.2,-2.561117579,Seasonal adjustment,47.3,-71.2,Site57,2488,3.9677,620,125,140,125,100,1868,8,15,-7,July,August,Pothier & Margolis 1990,
Bowdichia virgiloides,Bowdichia,virgiloides,TropicalDry,W,E,TropicalDryE,-2.09,-2.57,-0.48,-2.5,-3,-0.5,16.66666667,82.52,90.92,8.4,9.238891333,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Byrsonima sericea,Byrsonima,sericea,Coastal/Wetland,W,E,Coastal/Wetland,-1.54,-1.83,-0.29,-2.03,-2.21,-0.18,8.14479638,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Calligonum taklimakanensis,Calligonum,taklimakanensis,SemiDesert,W,E,SemiDesert,-1.12,-1.32,-0.2,-1.3,-1.61,-0.31,19.25465839,,,,,Seasonal adjustment,38.56666667,84.3,Site61,19,0.0143,1321,2,7,182,208,-1302,-180,-201,21,May,July,Liang et al. 2008,
Campomanesia aromatica,Campomanesia,aromatica,TropicalDry,W,E,TropicalDryE,-2.31,-2.06,0.25,-2.7,-2.6,0.1,10,93.74,92.92,-0.82,-0.882479552,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Carpinus viminea,Carpinus,viminea,TropicalDry,W,D,TropicalDryD,-2.21,-2.07,0.14,-2.5,-2.75,-0.25,9.090909091,83.5,78.6,-4.9,-6.234096692,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Carya tomentosa,Carya,tomentosa,Temperate,W,D,TemperateD,-0.99,-1.6,-0.61,-1.5,-1.99,-0.49,24.62311558,59,65,6,9.230769231,Seasonal adjustment,38.8,-92.2,Site54,977,0.8676,1126,121,96,143,177,-149,-22,-81,59,May,September,Parker et al. 1982,
Caryocar brasiliense,Caryocar,brasiliense,TropicalDry,W,E,TropicalDryE,-1.71,-2.07,-0.36,-2.2,-2.7,-0.5,18.51851852,84.83,86.67,1.84,2.122995269,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Casearia sylvestris,Casearia,sylvestris,TropicalDry,W,E,TropicalDryE,-2.46,-2.75,-0.29,-2.73,-3.18,-0.45,14.1509434,90.66,92.13,1.47,1.595571475,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Casuarina humilis,Casuarina,humilis,Med/TempDry,W,E,Med/TempDry,,,,-1.638888889,-3.055555556,-1.416666667,46.36363637,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Casuarina obesa,Casaurina,obesa,Coastal/Wetland,W,E,Coastal/Wetland,-2.72,-4.1,-1.38,-3.48,-5.71,-2.23,39.05429072,85,76,-9,-11.84210526,Seasonal adjustment,-32.61666667,115.7666667,Site38,879,0.6569,1338,119,18,66,138,-459,53,-120,173,August,March,Carter et al. 2006,
Celtis occidentalis,Celtis,occidentalis,Temperate,W,D,TemperateD,-1.46,-1.99,-0.53,-1.71,-2.11,-0.4,18.95734597,88.9,80.4,-8.5,-10.5721393,Seasonal adjustment,39.1,-96.6,Site34,863,0.7395,1167,137,99,170,187,-304,-33,-88,55,June,July,Abrams & Knapp 1986,
Celtis philippensis,Celtis,philippensis,TropicalDry,W,E,TropicalDryE,-2.39,-3.02,-0.63,-2.62,-3.34,-0.72,21.55688623,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Celtis wightii,Celtis,wightii,TropicalDry,W,E,TropicalDryE,-2.4,-3.38,-0.98,-2.59,-3.64,-1.05,28.84615385,,,,,Seasonal adjustment,21.90833333,101.2833333,Site71,1393,0.8753,1589,181,64,145,178,-196,36,-114,150,June,April,Wang et al. 2008,
Ceratonia siliqua,Ceratonia,siliqua,Med/TempDry,W,E,Med/TempDry,-1.76,-1.72,0.04,-2.03,-2.02,0.01,-0.495049505,,,,,Seasonal adjustment,38.18333333,15.55,Site19,850.9,0.8185,923,33,56,120,97,-72.1,-87,-41,-46,May,September,Lo Gullo & Salleo 1988,
Cipadessa baccifera,Cipadessa,baccifera,TropicalDry,W,D,TropicalDryD,-1.54,-1.51,0.03,-1.77,-1.79,-0.02,1.117318436,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Cleistanthus sumatranus,Cleistanthus,sumatranus,TropicalDry,W,E,TropicalDryE,-1.57,-2.69,-1.12,-1.72,-3.15,-1.43,45.3968254,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Coccoloba uvifera,Coccoloba,uvifera,Coastal/Wetland,W,E,Coastal/Wetland,-1.91,-2.24,-0.33,-2.48,-2.85,-0.37,12.98245614,,,,,Seasonal adjustment,10.83333333,-68.23333333,Site73,1061,0.6957,1525,142,61,136,132,-464,6,-71,77,October,May,Rada et al. 1989,
Coespeletia moritiziana,Coespeletia,moritziana,Alpine/Subalpine,H,E,Alpine/Subalpine,,,,-1.69,-2.3,-0.61,26.52173913,,,,,Seasonal adjustment,8.8667,-70.8,Site58,822,0.8542,981,128,10,79,81,-159,49,-71,120,February,July,Rada et al. 2012,
Colliguaja integerrima,Colliguaja,integerrima,SemiDesert,W,E,SemiDesert,-2.14,-2.67,-0.53,-3.21,-4.21,-1,23.75296912,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Combretum latifolium,Combretum,latifolium,TropicalDry,W,E,TropicalDryE,-0.72,-1.16,-0.44,-1.16,-1.42,-0.26,18.30985915,,,,,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,125,86,99,178,0,178,August,November,Zhu & Cao 2009,
Connarus suberosus,Connarus,suberosus,TropicalDry,W,E,TropicalDryE,-2.25,-2.28,-0.03,-2.63,-2.8,-0.17,6.071428571,91.7,91.87,0.17,0.185044084,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Conocarpus erectus,Conocarpus,erectus,Coastal/Wetland,W,E,Coastal/Wetland,-2.15,-2.54,-0.39,-2.76,-3.15,-0.39,12.38095238,,,,,Seasonal adjustment,10.83333333,-68.23333333,Site73,1061,0.6957,1525,142,61,136,132,-464,6,-71,77,October,May,Rada et al. 1989,
Cornus cornuta,Cornus,cornuta,Temperate,W,D,TemperateD,-1.44,-1.82,-0.38,-1.82,-2.23,-0.41,18.38565022,,,,,Seasonal adjustment,44.63812412,-123.192101,Site26,1085,1.0793,1020,35,18,148,157,65,-113,-139,26,June,August,Davis 2005,
Cornus florida,Cornus,florida,Temperate,W,D,TemperateD,-1.48,-1.91,-0.43,-2,-2.36,-0.36,15.25423729,75,82,7,8.536585366,Seasonal adjustment,35.9,-79.3,Site59,1157,0.9059,1276,102,90,172,124,-119,-70,-34,-36,June,September,Roberts & Knoerr 1977,
Cornus macrophylla,Cornus,macrophylla,TropicalDry,W,D,TropicalDryD,-1.4,-1.95,-0.55,-1.64,-2.14,-0.5,23.36448598,87.9,89.3,1.4,1.56774916,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Corylus cornuta,Corylus,cornuta,Temperate,W,D,TemperateD,-1.431524657,-1.663186148,-0.231661491,-1.797820224,-2.058515646,-0.260695422,12.66424292,,,,,Seasonal adjustment,44.63812412,-123.192101,Site26,1085,1.0793,1020,35,18,148,157,65,-113,-139,26,June,August,Davis 2005,
Corymbia calophylla,Corymbia,calophylla,Med/TempDry,W,E,Med/TempDry,-1.9,-1.8,0.1,-2.7,-2.1,0.6,-28.57142857,,,,,Seasonal adjustment,-32.71,116.06,Site63,1215,0.931,1305,182,25,59,137,-90,123,-112,235,August,March,Szota et al. 2011,
Couepia colyandra,Couepia,colyandra,TropicalDry,W,E,TropicalDryE,-2.04,-2.38,-0.34,-2.9,-3.06,-0.16,5.22875817,,,,,Seasonal adjustment,19.5,-105.05,Site43,782,0.4232,1824,139,32,168,123,-1042,-29,-91,62,July,November,Fanjul & Barradas 1987,
Crataegus monogyna,Crataegus,monogyna,Med/TempDry,W,D,Med/TempDry,,,,-2.22,-3.81,-1.59,41.73228346,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Crossopteryx febrifuga,Crossopteryx,febrifuga,TropicalDry,W,D,TropicalDryD,-1.44,-1.67,-0.23,-1.73,-2.17,-0.44,20.2764977,87,87.2,0.2,0.229357798,Seasonal adjustment,6.216666667,-5.033333333,Site6,1200,0.6977,1662,148,68,157,131,-462,-9,-63,54,April,November,Le Roux & Bariac 1998,
Croton yanhuii,Croton,yanhuii,TropicalDry,W,D,TropicalDryD,-1.19,-1.6,-0.41,-1.85,-1.79,0.06,-3.351955307,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Cupressus torulosa,Cupressus,torulosa,TropicalDry,W,E,TropicalConifer,-0.53,-0.73,-0.2,-0.81,-1.23,-0.42,34.14634146,88.7,86.8,-1.9,-2.188940092,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Cussonia barteria,Cussonia,barteria,TropicalDry,W,D,TropicalDryD,-1,-1.15,-0.15,-1.37,-1.72,-0.35,20.34883721,89.7,84.2,-5.5,-6.532066508,Seasonal adjustment,6.216666667,-5.033333333,Site6,1200,0.6977,1662,148,68,157,131,-462,-9,-63,54,April,November,Le Roux & Bariac 1998,
Didymopanax vinosum,Didymopanax,vinosum,TropicalDry,W,E,TropicalDryE,-1.95,-2.14,-0.19,-2.35,-2.9,-0.55,18.96551724,84.01,88.73,4.72,5.319508622,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Dimorphocalyx muricatus,Dimorphocalyx,muricatus,TropicalDry,W,E,TropicalDryE,-1.12,-1.45,-0.33,-1.38,-1.75,-0.37,21.14285714,95,83,-12,-14.45783133,Seasonal adjustment,4.9667,117.7667,Site46,2329,1.5697,1483,181,148,124,129,846,57,19,38,June,April,Gibbons & Newbery 2002,
Diospyros nigrocortex ,Diospyros,nigrocortex,TropicalDry,W,E,TropicalDryE,-1.21,-1.306825087,-0.096825087,-1.972253333,-2.088213333,-0.11596,5.553072496,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Dryandra cirisoides,Dryandra,cirisoides,Med/TempDry,W,E,Med/TempDry,,,,-3.472222222,-4.444444444,-0.972222222,21.875,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Dryandra sessilis,Dryandra,sessilis,Med/TempDry,W,E,Med/TempDry,,,,-2.75,-2.888888889,-0.138888889,4.807692311,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Dryandra vestita,Dryandra,vestita,Med/TempDry,W,E,Med/TempDry,,,,-2.083333333,-3.861111111,-1.777777778,46.04316547,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Dugetia furfuracea,Dugetia,furfuracea,TropicalDry,W,E,TropicalDryE,-2.89,-2.48,0.41,-3.33,-3,0.33,-11,96.79,97.72,0.93,0.951698731,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Elaeagnus angustifolia,Elaeagnus,angustifolia,SemiDesert,W,E,SemiDesert,-1.3339,-1.417,-0.0831,-1.5545,-1.6144,-0.0599,3.710356789,92.23,91.64,-0.59,-0.643823658,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Elymus mollis,Elymus,mollis,Coastal/Wetland,H,H,Coastal/Wetland,-1.42,-1.94,-0.52,-1.78,-2.45,-0.67,27.34693878,,,,,Seasonal adjustment,44.58333333,-124.05,Site25,1796,2.5601,748,217,33,53,96,1048,164,-63,227,March,August,Pavlik 1984,
Encelia farinosa,Encelia,farinosa,SemiDesert,W,D,SemiDesert,-1.69,-2.32,-0.63,-2.2,-3.21,-1.01,31.46417445,,,,,Seasonal adjustment,33.43333333,-111.75,Site13,229.5,0.1443,1736,21,26,77,236,-1506.5,-56,-210,154,February,July,Monson & Smith 1982,
Erica arborea,Erica,arborea,Med/TempDry,W,E,Med/TempDry,-2.08,-2.55,-0.47,-2.42,-3.11,-0.69,22.18649518,,,,,Seasonal adjustment,43.43333333,10.7,Site24,809.6,0.853,909,58,29,116,155,-99.4,-58,-126,68,May,July,Tognetti et al. 2000,
Eriogonum pyrolifolium ,Eriogonum,pyrolifolium,Alpine/Subalpine,W,E,Alpine/Subalpine,-1.12,-1.27,-0.15,-1.44,-1.66,-0.22,13.25301205,84.2,82.2,-2,-2.433090024,Seasonal adjustment,46.1667,-122.2333,Site39,2917,4.3412,674,42,61,123,108,2243,-81,-47,-34,July,August,Chapin & Bliss 1988,
Erioteca gracilipes,Erioteca,gracilipes,TropicalDry,W,D,TropicalDryD,-2.1,-2.08,0.02,-2.75,-2.6,0.15,-5.769230769,89.4,91.11,1.71,1.876852157,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Erythrophleum chlorostachys,Erythrophleum,chlorostachys,Med/TempDry,W,D,Med/TempDry,-1.95,-2.23,-0.28,-2.13,-2.37,-0.24,10.12658228,91,94,3,3.191489362,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
Erythroxylon suberosum,Erythroxylon,suberosum,TropicalDry,W,D,TropicalDryD,-2.12,-3.04,-0.92,-2.6,-3.5,-0.9,25.71428571,87.58,92.71,5.13,5.53338367,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Erythroxylum ovalifolium,Erythroxylum,ovalifolium,Coastal/Wetland,W,E,Coastal/Wetland,-1.77,-2.1,-0.33,-2.31,-2.55,-0.24,9.411764706,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Eucalyptus albida,Eucalyptus,albida,Med/TempDry,W,E,Med/TempDry,,,,-3,-3.194444444,-0.194444444,6.086956509,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Eucalyptus capillosa,Eucalyptus,capillosa,Med/TempDry,W,E,Med/TempDry,,,,-3.583333333,-3.916666667,-0.333333334,8.510638289,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
