DATE COLLECTED_TIME COLLECTED,PRESSURE [MPa],TIME OF DAY,Tree ID
6/11/16 5:05,0.6,pre-dawn,1
6/11/16 5:05,0.55,pre-dawn,1
6/11/16 5:08,0.6,pre-dawn,5
6/11/16 5:08,0.8,pre-dawn,5
6/11/16 12:20,2,mid-day,166
6/11/16 12:20,2.7,mid-day,166
6/11/16 12:18,2.3,mid-day,167
6/11/16 12:14,1.7,mid-day,168
6/11/16 12:14,1.7,mid-day,168
6/11/16 12:02,2,mid-day,1
6/11/16 12:02,2.3,mid-day,1
6/11/16 12:09,2.2,mid-day,4
6/11/16 12:09,2.4,mid-day,4
6/11/16 12:05,1.6,mid-day,3
6/11/16 12:05,2.1,mid-day,3
6/22/16 13:52,1.9,mid-day,1
6/22/16 14:12,2.1,mid-day,167
6/22/16 14:12,2.3,mid-day,167
6/22/16 14:13,1.95,mid-day,168
6/22/16 14:13,2.1,mid-day,168
6/22/16 14:01,1.9,mid-day,5
6/22/16 14:01,2.1,mid-day,5
6/22/16 14:01,2.9,mid-day,5
6/22/16 14:10,2.5,mid-day,166
6/22/16 14:10,2.2,mid-day,166
6/22/16 14:10,2,mid-day,166
6/22/16 14:05,2.2,mid-day,3
6/22/16 14:05,2,mid-day,3
6/22/16 13:56,2.5,mid-day,4
6/23/16 4:52,0.55,pre-dawn,3
6/23/16 4:52,0.7,pre-dawn,3
6/23/16 4:52,0.65,pre-dawn,3
6/23/16 4:50,0.75,pre-dawn,4
6/23/16 4:50,0.9,pre-dawn,4
6/23/16 4:50,1,pre-dawn,4
6/23/16 5:04,0.8,pre-dawn,167
6/23/16 5:04,0.8,pre-dawn,167
6/23/16 5:02,0.7,pre-dawn,166
6/23/16 5:02,0.8,pre-dawn,166
6/23/16 5:06,0.6,pre-dawn,168
6/23/16 5:06,0.6,pre-dawn,168
6/23/16 5:06,0.5,pre-dawn,168
6/23/16 4:56,0.9,pre-dawn,5
6/23/16 4:56,0.8,pre-dawn,5
6/23/16 4:45,0.9,pre-dawn,1
6/23/16 4:45,0.7,pre-dawn,1
7/24/16 14:04,3.6,mid-day,1
7/24/16 14:04,3.4,mid-day,1
7/24/16 14:04,3.8,mid-day,1
7/24/16 14:00,3.5,mid-day,166
7/24/16 14:00,3.4,mid-day,166
7/24/16 14:00,3.2,mid-day,166
7/24/16 13:50,3,mid-day,168
7/24/16 13:50,2.7,mid-day,168
7/24/16 13:50,2.9,mid-day,168
7/24/16 14:08,3.4,mid-day,5
7/24/16 14:08,3,mid-day,5
7/24/16 14:08,2.9,mid-day,5
7/24/16 14:11,3.4,mid-day,4
7/24/16 14:11,3.3,mid-day,4
7/24/16 14:11,3.6,mid-day,4
7/24/16 13:56,3.1,mid-day,167
7/24/16 13:56,3.7,mid-day,167
7/24/16 14:13,2.6,mid-day,3
7/24/16 14:13,2.8,mid-day,3
7/24/16 14:59,3,mid-day,165
7/24/16 15:01,2.4,mid-day,165
7/25/16 5:45,0.7,pre-dawn,168
7/25/16 5:45,0.6,pre-dawn,168
7/25/16 5:45,0.7,pre-dawn,168
7/25/16 5:42,0.9,pre-dawn,167
7/25/16 5:42,0.7,pre-dawn,167
7/25/16 5:25,0.7,pre-dawn,1
7/25/16 5:25,0.7,pre-dawn,1
7/25/16 5:25,0.8,pre-dawn,1
7/25/16 5:35,0.7,pre-dawn,5
7/25/16 5:35,0.6,pre-dawn,5
7/25/16 5:35,0.9,pre-dawn,5
7/25/16 5:47,1.8,pre-dawn,166
7/25/16 5:47,1.6,pre-dawn,166
7/25/16 5:47,1.7,pre-dawn,166
7/25/16 5:32,1.1,pre-dawn,4
7/25/16 5:32,1.2,pre-dawn,4
7/25/16 5:32,1,pre-dawn,4
7/25/16 5:30,0.65,pre-dawn,3
7/25/16 5:30,1.1,pre-dawn,3
7/25/16 5:30,0.7,pre-dawn,3
8/26/16 6:13,1.45,pre-dawn,168
8/26/16 6:13,1.65,pre-dawn,168
8/26/16 6:13,1.9,pre-dawn,168
8/26/16 6:12,1.85,pre-dawn,167
8/26/16 6:12,2,pre-dawn,167
8/26/16 6:04,1.9,pre-dawn,5
8/26/16 6:04,1.7,pre-dawn,5
8/26/16 6:04,2.2,pre-dawn,5
8/26/16 6:09,3.6,pre-dawn,166
8/26/16 6:09,3.7,pre-dawn,166
8/26/16 6:09,3.6,pre-dawn,166
8/26/16 6:01,3.15,pre-dawn,4
8/26/16 6:01,3.25,pre-dawn,4
8/26/16 6:01,3.4,pre-dawn,4
8/26/16 5:57,2.6,pre-dawn,1
8/26/16 5:57,2.75,pre-dawn,1
8/26/16 5:57,2.85,pre-dawn,1
8/26/16 13:32,4.4,mid-day,166
8/26/16 13:32,4.45,mid-day,166
8/26/16 13:34,3.75,mid-day,167
8/26/16 13:34,3.8,mid-day,167
8/26/16 13:36,3.3,mid-day,168
8/26/16 13:36,3.2,mid-day,168
8/26/16 13:26,3.8,mid-day,5
8/26/16 13:26,3.4,mid-day,5
8/26/16 13:26,3.55,mid-day,5
8/26/16 13:23,4.25,mid-day,4
8/26/16 13:23,4.5,mid-day,4
8/26/16 13:23,4.35,mid-day,4
8/26/16 13:21,3.5,mid-day,1
8/26/16 13:21,3.8,mid-day,1
8/26/16 13:21,3.9,mid-day,1
9/17/16 6:15,4.05,pre-dawn,166
9/17/16 6:15,4.1,pre-dawn,166
9/17/16 6:15,4.35,pre-dawn,166
9/17/16 6:19,1.9,pre-dawn,168
9/17/16 6:19,2,pre-dawn,168
9/17/16 6:19,2.05,pre-dawn,168
9/17/16 6:06,3.5,pre-dawn,4
9/17/16 6:06,3.7,pre-dawn,4
9/17/16 6:06,3.6,pre-dawn,4
9/17/16 6:03,2.56,pre-dawn,1
9/17/16 6:03,2.56,pre-dawn,1
9/17/16 6:03,2.65,pre-dawn,1
9/17/16 6:08,2.25,pre-dawn,5
9/17/16 6:08,2.35,pre-dawn,5
9/17/16 6:08,2.2,pre-dawn,5
9/17/16 6:17,2.65,pre-dawn,167
9/17/16 6:17,2.7,pre-dawn,167
9/17/16 11:34,3.7,mid-day,168
9/17/16 11:34,3.65,mid-day,168
9/17/16 11:34,3.65,mid-day,168
9/17/16 11:30,3.6,mid-day,5
9/17/16 11:30,3.85,mid-day,5
9/17/16 11:30,4,mid-day,5
9/17/16 11:36,4.1,mid-day,167
9/17/16 11:36,4.3,mid-day,167
9/17/16 11:25,4.7,mid-day,4
9/17/16 11:25,5,mid-day,4
9/17/16 11:38,4.9,mid-day,166
9/17/16 11:38,5.05,mid-day,166
9/17/16 11:38,5.05,mid-day,166
9/17/16 11:22,4.35,mid-day,1
9/17/16 11:22,4.6,mid-day,1
9/17/16 11:22,4.6,mid-day,1
11/1/16 11:50,0.65,mid-day,168
11/1/16 11:50,0.9,mid-day,168
11/1/16 11:47,1.4,mid-day,167
11/1/16 11:46,0.9,mid-day,166
11/1/16 11:46,1.8,mid-day,166
11/1/16 12:07,2.2,mid-day,4
11/1/16 12:07,1.1,mid-day,4
11/1/16 12:04,1.7,mid-day,1
11/1/16 12:04,1.3,mid-day,1
11/1/16 12:08,1,mid-day,5
11/1/16 12:08,1.3,mid-day,5
11/1/16 7:45,0,pre-dawn,1
11/1/16 7:45,0,pre-dawn,4
11/1/16 7:45,0,pre-dawn,5
11/1/16 7:45,0,pre-dawn,166
11/1/16 7:45,0,pre-dawn,167
11/1/16 7:45,0,pre-dawn,168
