"","db","query","family"
"144","itis","Phlebodium aureum","Polypodiaceae"
"145","itis","Phytolacca dioica",NA
"146","itis","Picea mariana","Pinaceae"
"147","itis","Pictetia aculeata","Fabaceae"
"148","itis","Pinus albicaulis","Pinaceae"
"149","itis","Pinus cembra","Pinaceae"
"150","itis","Pinus flexilis","Pinaceae"
"151","itis","Pinus longaeva","Pinaceae"
"152","itis","Pinus ponderosa","Pinaceae"
"153","itis","Pinus sabiniana","Pinaceae"
"154","itis","Pinus tabulaeformis",NA
"155","itis","Piscidia pscipula",NA
"156","itis","Pisonia aculeata","Nyctaginaceae"
"157","itis","Pisonia albida","Nyctaginaceae"
"158","itis","Pithecellobium unguis-cati","Fabaceae"
"159","itis","Pittosporum tobira","Pittosporaceae"
"160","itis","Pleroma hospita",NA
"161","itis","Polypodium scouleri","Polypodiaceae"
"162","itis","Polystichum munitum","Dryopteridaceae"
"163","itis","Populus nigra","Salicaceae"
"164","itis","Pouteria caimito","Sapotaceae"
"165","itis","Prunus persica","Rosaceae"
"166","itis","Prunus serotina","Rosaceae"
"167","itis","Quercus alba","Fagaceae"
"168","itis","Quercus douglasii","Fagaceae"
"169","itis","Quercus ellipsoidalis","Fagaceae"
"170","itis","Quercus garryana","Fagaceae"
"171","itis","Quercus ilex","Fagaceae"
"172","itis","Quercus lobata","Fagaceae"
"173","itis","Quercus macrocarpa","Fagaceae"
"174","itis","Quercus muehlenbergii","Fagaceae"
"175","itis","Quercus oleoides",NA
"176","itis","Quercus rubra","Fagaceae"
"177","itis","Quercus serrata","Fagaceae"
"178","itis","Rehdera trinervis",NA
"179","itis","Robinia pseudoacacia","Fabaceae"
"180","itis","Rourea glabra",NA
"181","itis","Salix arctica",NA
"182","itis","Samanea saman","Fabaceae"
"183","itis","Sapium glandulosum","Euphorbiaceae"
"184","itis","Securidaca diversifolia","Polygalaceae"
"185","itis","Sequoiadendron giganteum","Cupressaceae"
"186","itis","Serjania schiedeana",NA
"187","itis","Sideroxylon capiri",NA
"188","itis","Simarouba glauca","Simaroubaceae"
"189","itis","Solanum lycopersicum","Solanaceae"
"190","itis","Spinacia oleracea","Amaranthaceae"
"191","itis","Spondias mombin","Anacardiaceae"
"192","itis","Sweitenia macrophyllum",NA
"193","itis","Swietenia macrophylla","Meliaceae"
"194","itis","Swietenia mahagoni","Meliaceae"
"195","itis","Syringa vulgaris","Oleaceae"
"196","itis","Tabebuia Impetiginosa",NA
"197","itis","Tabebuia heterophylla","Bignoniaceae"
"198","itis","Tabebuia ochraceae",NA
"199","itis","Terminalia amazonia",NA
"200","itis","Tetracera volubilis",NA
"201","itis","Thouinia portoricensis",NA
"202","itis","Thuja plicata","Cupressaceae"
"203","itis","Trichilia carinata",NA
"204","itis","Trichilia oligofoliolata",NA
"205","itis","Trichilia pallida","Meliaceae"
"206","itis","Trigonia rugosa",NA
"207","itis","Triplaris melaenodendron",NA
"208","itis","Triticum aestivum","Poaceae"
"209","itis","Tsuga heterophylla","Pinaceae"
"210","itis","Vaccinium ovatum","Ericaceae"
"211","itis","Vaccinium parvifolium","Ericaceae"
"212","itis","Vitis vinifera","Vitaceae"
"213","itis","Woodfordia fruticosa",NA
"214","itis","Xanthostemon paradoxus",NA
"215","itis","Xerophyta viscosa",NA
"216","itis","Zea mays","Poaceae"
