"","db","query","family"
"143","itis","Garcinia cowa",NA
"144","itis","Garcinia lancilimba",NA
"145","itis","Gaultheria shallon","Ericaceae"
"146","itis","Genipa americana","Rubiaceae"
"147","itis","Ginkgo biloba","Ginkgoaceae"
"148","itis","Gliricidia sepium","Fabaceae"
"149","itis","Glycine max","Fabaceae"
"150","itis","Gonocalyx costaricensis",NA
"151","itis","Gossypium hyrsutum",NA
"152","itis","Gouania polygama","Rhamnaceae"
"153","itis","Guazuma ulmifolia","Malvaceae"
"154","itis","Guazuma ulmifolia","Malvaceae"
"155","itis","Gymnanthes lucida","Euphorbiaceae"
"156","itis","Gymnopodium floribundum",NA
"157","itis","Harpullia cupanioides",NA
"158","itis","Hedera helix","Araliaceae"
"159","itis","Helianthus annus",NA
"160","itis","Helianthus annuus","Asteraceae"
"161","itis","Helianthus annuus L.",NA
"162","itis","Heliocarpus popayanensis",NA
"163","itis","Hesperostipa comata","Poaceae"
"164","itis","Heteropogon contortus","Poaceae"
"165","itis","Heteropterys laurifolia","Malpighiaceae"
"166","itis","Heterotheca villosa","Asteraceae"
"167","itis","Hibiscus rosa-sinensis","Malvaceae"
"168","itis","Hieronyma alchorneoides",NA
"169","itis","Hillia loranthoides",NA
"170","itis","Hillia palmana",NA
"171","itis","Hippophae rhamnoides","Elaeagnaceae"
"172","itis","Hiraea reclinata",NA
"173","itis","Hura crepitans","Euphorbiaceae"
"174","itis","Hymenea courbaril",NA
"175","itis","Hypochaeris lutea",NA
"176","itis","Ilex verticillata","Aquifoliaceae"
"177","itis","Isohilus chiriquensis",NA
"178","itis","Juniperus californica","Cupressaceae"
"179","itis","Knema furfuracea",NA
"180","itis","Knema globularia",NA
"181","itis","Koeleria macrantha","Poaceae"
"182","itis","Krugiodendron ferreum","Rhamnaceae"
"183",NA,"Larix decidua","Pinaceae"
"184","itis","Lasianthus verticillatus",NA
"185","itis","Laurus nobilis","Lauraceae"
"186","itis","Leea compactiflora",NA
"187","itis","Leptostelma maximum",NA
"188","itis","Leucocrinum montanum","Asparagaceae"
"189","itis","Liatris punctata","Asteraceae"
"190","itis","Limonium perezii","Plumbaginaceae"
"191","itis","Linaria dalmatica","Plantaginaceae"
"192","itis","Liquidambar styraciflua","Altingiaceae"
"193","itis","Liriodendron tulipifera","Magnoliaceae"
"194","itis","Lonchocarpus guatemalensis",NA
"195","itis","Lonchocarpus xuul",NA
"196","itis","Luehea candida",NA
"197","itis","Luehea speciosa","Malvaceae"
"198","itis","Lupinus angustifolius","Fabaceae"
"199","itis","Lysiloma latisiliquum","Fabaceae"
"200","itis","Mabea fistulifera",NA
"201","itis","Macfadyena unguis-cati",NA
"202","itis","Machaerina ensifolia",NA
"203","itis","Machaerium capote",NA
"204","itis","Machaerium milleflorum",NA
"205","itis","Macleania insignis",NA
"206","itis","Maclura tinctoria","Moraceae"
"207","itis","Macropanax dispermus",NA
"208","itis","Maianthemum monteverdense",NA
"209","itis","Mallotus garrettii",NA
"210","itis","Manilkara chicle",NA
"211","itis","Mansoa hymenaea","Bignoniaceae"
"212","itis","Maripa panamensis",NA
"213","itis","Marsilea quadrifolia","Marsileaceae"
"214","itis","Mertensia lanceolata","Boraginaceae"
"215","itis","Mezzettiopsis creaghii",NA
"216","itis","Miconia albicans",NA
"217","itis","Microcos chungii",NA
"218","itis","Mikania glaziovii ",NA
"219","itis","Mimosa bahamensis",NA
"220","itis","Morus alba","Moraceae"
"221","itis","Myristica yunnanensis",NA
"222","itis","Neomillspaughia emarginata",NA
"223","itis","Neomirandea croatii",NA
"224","itis","Neomirandea eximia",NA
"225","itis","Nephelium chryseum",NA
"226","itis","Nephrolepis exaltata","Nephrolepidaceae"
"227","itis","Nerium oleander","Apocynaceae"
"228","itis","Notopleura guadalupensis","Rubiaceae"
"229","itis","Notopleura maxonii",NA
"230","itis","Notopleura pithecobia",NA
"231","itis","Olea europaea","Oleaceae"
"232","itis","Oreopanax anomalus",NA
"233","itis","Oreopanax vestitus",NA
"234","itis","Oryza sativa","Poaceae"
"235","itis","Oryza sativa","Poaceae"
"236","itis","Osmunda regalis","Osmundaceae"
"237","itis","Oxandra espintana",NA
"238","itis","Pachira quinata",NA
"239","itis","Parashorea chinensis",NA
"240","itis","Pascopyrum smithii","Poaceae"
"241","itis","Paullinia cururu",NA
"242","itis","Paullinia pinnata","Sapindaceae"
"243","itis","Pennisetum glaucum",NA
"244","itis","Penstemon albidus","Plantaginaceae"
"245","itis","Petrea volubilis","Verbenaceae"
"246","itis","Phaseolu vulgaris",NA
"247","itis","Phaseolus vulgaris","Fabaceae"
"248","itis","Phellodendron amurense","Rutaceae"
"249","itis","Phlebodium aureum","Polypodiaceae"
"250","itis","Phoebe lanceolata",NA
"251","itis","Phytolacca dioica",NA
"252","itis","Picea mariana","Pinaceae"
"253","itis","Pictetia aculeata","Fabaceae"
"254","itis","Pinus albicaulis","Pinaceae"
"255","itis","Pinus cembra","Pinaceae"
"256","itis","Pinus flexilis","Pinaceae"
"257","itis","Pinus longaeva","Pinaceae"
"258","itis","Pinus ponderosa","Pinaceae"
"259","itis","Pinus sabiniana","Pinaceae"
"260","itis","Pinus tabulaeformis",NA
"261","itis","Piscidia pscipula",NA
"262","itis","Pisonia aculeata","Nyctaginaceae"
"263","itis","Pisonia albida","Nyctaginaceae"
"264","itis","Pithecellobium unguis-cati","Fabaceae"
"265","itis","Pittosporopsis kerrii",NA
"266","itis","Pittosporum tobira","Pittosporaceae"
"267","itis","Plantago patagonica","Plantaginaceae"
"268","itis","Pleroma hospita",NA
"269","itis","Pleurothallis dolichopus",NA
"270","itis","Poa secunda","Poaceae"
"271","itis","Polyalthia tomentosa",NA
"272","itis","Polypodium scouleri","Polypodiaceae"
"273","itis","Polystichum munitum","Dryopteridaceae"
"274","itis","Pometia tomentosa",NA
"275","itis","Populus nigra","Salicaceae"
"276","itis","Pouteria caimito","Sapotaceae"
"277","itis","Prunus persica","Rosaceae"
"278","itis","Prunus serotina","Rosaceae"
"279","itis","Pseuduvaria indochinensis",NA
"280","itis","Psidium cattleianum","Myrtaceae"
"281","itis","Pterospermum menglunense",NA
"282","itis","Quercus alba","Fagaceae"
"283","itis","Quercus douglasii","Fagaceae"
"284","itis","Quercus ellipsoidalis","Fagaceae"
"285","itis","Quercus garryana","Fagaceae"
"286","itis","Quercus ilex","Fagaceae"
"287","itis","Quercus lobata","Fagaceae"
"288","itis","Quercus macrocarpa","Fagaceae"
"289","itis","Quercus muehlenbergii","Fagaceae"
"290","itis","Quercus oleoides",NA
"291","itis","Quercus rubra","Fagaceae"
"292","itis","Quercus serrata","Fagaceae"
"293","itis","Rehdera trinervis",NA
"294","itis","Robinia pseudoacacia","Fabaceae"
"295","itis","Rourea glabra",NA
"296","itis","Salix arctica","Salicaceae"
"297","itis","Samanea saman","Fabaceae"
"298","itis","Sapium glandulosum","Euphorbiaceae"
"299","itis","Saprosma ternata",NA
"300","itis","Satyria meiantha CF",NA
"301","itis","Satyria warszewiczii CF",NA
"302","itis","Schefflera rodriguesiana",NA
"303","itis","Securidaca diversifolia","Polygalaceae"
"304","itis","Sequoiadendron giganteum","Cupressaceae"
"305","itis","Serjania schiedeana",NA
"306","itis","Shorea wantianshuea",NA
"307","itis","Sideroxylon capiri",NA
"308","itis","Simarouba glauca","Simaroubaceae"
"309","itis","Sloanea tomentosa",NA
"310","itis","Solanum galapagense","Solanaceae"
"311","itis","Solanum habrochaites","Solanaceae"
"312","itis","Solanum lycopersicum","Solanaceae"
"313","itis","Solanum lycopersicum","Solanaceae"
"314","itis","Solanum lycopersicum","Solanaceae"
"315","itis","Solanum lycopersicum ",NA
"316","itis","Solanum pennellii","Solanaceae"
"317","itis","Solanum pimpinellifolium","Solanaceae"
"318","itis","Sphaeradenia praetermissa",NA
"319","itis","Sphaeralcea coccinia",NA
"320","itis","Spharalcea coccinea",NA
"321","itis","Sphyrospermum buxifolium",NA
"322","itis","Sphyrospermum cordifolium",NA
"323","itis","Spinacia oleracea","Amaranthaceae"
"324","itis","Spondias mombin","Anacardiaceae"
"325","itis","Stenospermation sessile",NA
"326","itis","Sumbaviopsis albicans","Euphorbiaceae"
"327","itis","Sweitenia macrophyllum",NA
"328","itis","Swietenia macrophylla","Meliaceae"
"329","itis","Swietenia mahagoni","Meliaceae"
"330","itis","Syringa vulgaris","Oleaceae"
"331","itis","Syzygium latilimbum",NA
"332","itis","Tabebuia Impetiginosa",NA
"333","itis","Tabebuia heterophylla","Bignoniaceae"
"334","itis","Tabebuia ochraceae",NA
"335","itis","Tabebuia roseoalba",NA
"336","itis","Tabernaemontana corymbosa",NA
"337","itis","Terminalia amazonia",NA
"338","itis","Tetracera volubilis",NA
"339","itis","Thouinia portoricensis",NA
"340","itis","Thuja plicata","Cupressaceae"
"341","itis","Trichilia carinata",NA
"342","itis","Trichilia oligofoliolata",NA
"343","itis","Trichilia pallida","Meliaceae"
"344","itis","Trigonia rugosa",NA
"345","itis","Trigonostemon thyrsoideum",NA
"346","itis","Triplaris melaenodendron",NA
"347","itis","Triticum aestivum","Poaceae"
"348","itis","Tsuga heterophylla","Pinaceae"
"349","itis","Urophyllum chinense",NA
"350","itis","Vaccinium ovatum","Ericaceae"
"351","itis","Vaccinium parvifolium","Ericaceae"
"352","itis","Vigna unguiculata","Fabaceae"
"353","itis","Vitis vinifera","Vitaceae"
"354","itis","Walsura robusta",NA
"355","itis","Woodfordia fruticosa",NA
"356","itis","Xanthostemon paradoxus",NA
"357","itis","Xerophyta viscosa",NA
"358","itis","Zea mays","Poaceae"
